Goterm,ID,Description,NES,pvalue,p.adjust,pergene,FDR
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",-1.723962026,2.17E-07,8.62E-05,0.380813953,8.62E-05
"mRNA splicing, via spliceosome (GO:0000398)",GO:0000398,"mRNA splicing, via spliceosome",-1.723962026,2.17E-07,8.62E-05,0.380813953,8.62E-05
Adaptive immune response (GO:0002250),GO:0002250,Adaptive immune response,-1.634846672,2.50E-07,9.36E-05,0.357487923,9.36E-05
Negative regulation of viral genome replication (GO:0045071),GO:0045071,Negative regulation of viral genome replication,-2.219899245,3.21E-07,0.000113642,0.576271186,0.000113624
T cell receptor signaling pathway (GO:0050852),GO:0050852,T cell receptor signaling pathway,-1.851308083,5.45E-07,0.000182511,0.383419689,0.000182482
Regulation of viral life cycle (GO:1903900),GO:1903900,Regulation of viral life cycle,-1.890148235,1.03E-06,0.000327254,0.4,0.000327203
Fatty acid metabolic process (GO:0006631),GO:0006631,Fatty acid metabolic process,1.650403688,1.56E-06,0.000473401,0.268421053,0.000473327
Regulation of symbiotic process (GO:0043903),GO:0043903,Regulation of symbiotic process,-1.749313786,1.72E-06,0.000498789,0.375,0.000498711
Negative regulation of viral process (GO:0048525),GO:0048525,Negative regulation of viral process,-2.033338892,1.90E-06,0.000524273,0.464646465,0.00052419
Activation of immune response (GO:0002253),GO:0002253,Activation of immune response,-1.559660002,2.13E-06,0.000542942,0.327981651,0.000542857
Detection of chemical stimulus involved in sensory perception of smell (GO:0050911),GO:0050911,Detection of chemical stimulus involved in sensory perception of smell,1.768736274,2.13E-06,0.000542942,0.583333333,0.000542857
Regulation of viral process (GO:0050792),GO:0050792,Regulation of viral process,-1.742822861,3.25E-06,0.000794175,0.371428571,0.00079405
T cell activation (GO:0042110),GO:0042110,T cell activation,-1.518726366,4.73E-06,0.00111516,0.31512605,0.001114984
Regulation of viral genome replication (GO:0045069),GO:0045069,Regulation of viral genome replication,-1.92802812,7.91E-06,0.001797591,0.418367347,0.001797308
Carboxylic acid biosynthetic process (GO:0046394),GO:0046394,Carboxylic acid biosynthetic process,1.626181058,8.32E-06,0.001825983,0.313953488,0.001825696
Immune response-regulating cell surface receptor signaling pathway (GO:0002768),GO:0002768,Immune response-regulating cell surface receptor signaling pathway,-1.537725702,1.15E-05,0.002442274,0.333333333,0.002441891
Immune response-activating cell surface receptor signaling pathway (GO:0002429),GO:0002429,Immune response-activating cell surface receptor signaling pathway,-1.584464822,1.36E-05,0.002711233,0.34180791,0.002710807
Immune response-activating signal transduction (GO:0002757),GO:0002757,Immune response-activating signal transduction,-1.584464822,1.36E-05,0.002711233,0.34180791,0.002710807
Immune response-regulating signaling pathway (GO:0002764),GO:0002764,Immune response-regulating signaling pathway,-1.529655708,1.47E-05,0.002842411,0.330769231,0.002841964
Positive regulation of lipid localization (GO:1905954),GO:1905954,Positive regulation of lipid localization,1.877798832,1.55E-05,0.002888338,0.311827957,0.002887884
Organic acid biosynthetic process (GO:0016053),GO:0016053,Organic acid biosynthetic process,1.623429421,1.59E-05,0.002888338,0.313043478,0.002887884
Response to interferon-alpha (GO:0035455),GO:0035455,Response to interferon-alpha,-2.184614023,2.13E-05,0.003757864,0.5,0.003757273
Sulfur compound metabolic process (GO:0006790),GO:0006790,Sulfur compound metabolic process,1.568883067,2.19E-05,0.003757864,0.289693593,0.003757273
Monovalent inorganic cation homeostasis (GO:0055067),GO:0055067,Monovalent inorganic cation homeostasis,1.73108002,2.31E-05,0.003859894,0.266233766,0.003859287
Rrna processing (GO:0006364),GO:0006364,Rrna processing,-1.643688399,2.49E-05,0.004062762,0.252252252,0.004062124
Viral genome replication (GO:0019079),GO:0019079,Viral genome replication,-1.813554329,3.35E-05,0.005324367,0.384,0.005323531
"Synaptic transmission, glutamatergic (GO:0035249)",GO:0035249,"Synaptic transmission, glutamatergic",1.809545099,5.43E-05,0.008432638,0.301075269,0.008431312
Small molecule catabolic process (GO:0044282),GO:0044282,Small molecule catabolic process,1.511297012,5.93E-05,0.00899021,0.293721973,0.008988798
T cell selection (GO:0045058),GO:0045058,T cell selection,-1.963236526,6.44E-05,0.009531454,0.428571429,0.009529956
Sulfur compound catabolic process (GO:0044273),GO:0044273,Sulfur compound catabolic process,1.93527817,7.76E-05,0.011070585,0.462962963,0.011068845
Rrna metabolic process (GO:0016072),GO:0016072,Rrna metabolic process,-1.614507648,7.86E-05,0.011070585,0.248927039,0.011068845
Leukocyte proliferation (GO:0070661),GO:0070661,Leukocyte proliferation,-1.508773636,8.00E-05,0.011070585,0.284313725,0.011068845
Glycosaminoglycan catabolic process (GO:0006027),GO:0006027,Glycosaminoglycan catabolic process,1.857482677,8.26E-05,0.011177243,0.37704918,0.011175487
Response to oxygen levels (GO:0070482),GO:0070482,Response to oxygen levels,1.51625273,9.23E-05,0.012237028,0.252631579,0.012235105
Lymphocyte differentiation (GO:0030098),GO:0030098,Lymphocyte differentiation,-1.476114776,9.68E-05,0.012574347,0.274725275,0.012572371
Regulation of lipid localization (GO:1905952),GO:1905952,Regulation of lipid localization,1.704616544,0.000116967,0.01488526,0.281879195,0.014882921
Lymphocyte proliferation (GO:0046651),GO:0046651,Lymphocyte proliferation,-1.514676076,0.000120558,0.015041408,0.286738351,0.015039044
Positive regulation of lipid transport (GO:0032370),GO:0032370,Positive regulation of lipid transport,1.824204973,0.000130495,0.015968055,0.328571429,0.015965546
Response to interferon-gamma (GO:0034341),GO:0034341,Response to interferon-gamma,-1.599352037,0.000144714,0.017373917,0.358585859,0.017371187
Cellular response to interferon-gamma (GO:0071346),GO:0071346,Cellular response to interferon-gamma,-1.640564024,0.000149559,0.017623027,0.393258427,0.017620257
Keratan sulfate catabolic process (GO:0042340),GO:0042340,Keratan sulfate catabolic process,1.979011989,0.000155907,0.01803698,0.583333333,0.018034146
Regulation of lymphocyte activation (GO:0051249),GO:0051249,Regulation of lymphocyte activation,-1.418006648,0.000176622,0.019988849,0.282110092,0.019985708
Response to hypoxia (GO:0001666),GO:0001666,Response to hypoxia,1.51201089,0.000179367,0.019988849,0.252906977,0.019985708
Aminoglycan catabolic process (GO:0006026),GO:0006026,Aminoglycan catabolic process,1.852626185,0.000182202,0.019988849,0.373134328,0.019985708
Monocarboxylic acid biosynthetic process (GO:0072330),GO:0072330,Monocarboxylic acid biosynthetic process,1.59930519,0.000190479,0.020253641,0.266094421,0.020250458
Divalent inorganic cation homeostasis (GO:0072507),GO:0072507,Divalent inorganic cation homeostasis,1.434730288,0.000190982,0.020253641,0.252545825,0.020250458
Thymic T cell selection (GO:0045061),GO:0045061,Thymic T cell selection,-2.058330635,0.00019709,0.02055872,0.5,0.020555489
Cellular response to hypoxia (GO:0071456),GO:0071456,Cellular response to hypoxia,1.623248717,0.000208074,0.021354417,0.274611399,0.021351061
Cellular response to oxygen levels (GO:0071453),GO:0071453,Cellular response to oxygen levels,1.568889556,0.000212178,0.021429936,0.269406393,0.021426569
Transition metal ion transport (GO:0000041),GO:0000041,Transition metal ion transport,1.712892149,0.000228706,0.022738348,0.464,0.022734774
Ovulation cycle process (GO:0022602),GO:0022602,Ovulation cycle process,1.880862171,0.000254754,0.024938463,0.574468085,0.024934544
Detection of stimulus involved in sensory perception (GO:0050906),GO:0050906,Detection of stimulus involved in sensory perception,1.456722406,0.000268132,0.025850319,0.247159091,0.025846256
Divalent metal ion transport (GO:0070838),GO:0070838,Divalent metal ion transport,1.436650753,0.000283399,0.026914446,0.236725664,0.026910216
Neutral lipid metabolic process (GO:0006638),GO:0006638,Neutral lipid metabolic process,1.685498727,0.000295502,0.026931628,0.325396825,0.026927395
Acylglycerol metabolic process (GO:0006639),GO:0006639,Acylglycerol metabolic process,1.685498727,0.000295502,0.026931628,0.325396825,0.026927395
Cellular divalent inorganic cation homeostasis (GO:0072503),GO:0072503,Cellular divalent inorganic cation homeostasis,1.443199955,0.000296278,0.026931628,0.254237288,0.026927395
Mononuclear cell proliferation (GO:0032943),GO:0032943,Mononuclear cell proliferation,-1.479653002,0.000316729,0.028385155,0.283687943,0.028380694
Detection of chemical stimulus involved in sensory perception (GO:0050907),GO:0050907,Detection of chemical stimulus involved in sensory perception,1.518013937,0.000321215,0.028387344,0.472789116,0.028382882
Organic acid catabolic process (GO:0016054),GO:0016054,Organic acid catabolic process,1.520101525,0.000337849,0.028965652,0.31294964,0.0289611
Carboxylic acid catabolic process (GO:0046395),GO:0046395,Carboxylic acid catabolic process,1.520101525,0.000337849,0.028965652,0.31294964,0.0289611
Organic acid transport (GO:0015849),GO:0015849,Organic acid transport,1.467449197,0.000341415,0.028965652,0.320699708,0.0289611
Cellular response to transforming growth factor beta stimulus (GO:0071560),GO:0071560,Cellular response to transforming growth factor beta stimulus,1.564768284,0.000350672,0.029091215,0.243589744,0.029086643
Neurotransmitter transport (GO:0006836),GO:0006836,Neurotransmitter transport,1.562063794,0.000352039,0.029091215,0.348017621,0.029086643
Fatty acid biosynthetic process (GO:0006633),GO:0006633,Fatty acid biosynthetic process,1.614506409,0.000360502,0.029408605,0.273291925,0.029403983
Negative regulation of behavior (GO:0048521),GO:0048521,Negative regulation of behavior,1.931110861,0.000389667,0.031291944,0.375,0.031287026
Divalent inorganic cation transport (GO:0072511),GO:0072511,Divalent inorganic cation transport,1.422395564,0.000394645,0.031291944,0.235294118,0.031287026
Carboxylic acid transport (GO:0046942),GO:0046942,Carboxylic acid transport,1.484904988,0.000398342,0.031291944,0.320588235,0.031287026
Response to decreased oxygen levels (GO:0036293),GO:0036293,Response to decreased oxygen levels,1.466777612,0.000405694,0.031480879,0.247191011,0.031475932
Response to lipopolysaccharide (GO:0032496),GO:0032496,Response to lipopolysaccharide,1.497871019,0.000471367,0.036136243,0.2875,0.036130564
Antigen processing and presentation of endogenous antigen (GO:0019883),GO:0019883,Antigen processing and presentation of endogenous antigen,-1.980787485,0.000487157,0.036902106,0.565217391,0.036896307
Phagosome maturation (GO:0090382),GO:0090382,Phagosome maturation,1.837787538,0.000504325,0.037753153,0.468085106,0.037747219
Sulfur compound biosynthetic process (GO:0044272),GO:0044272,Sulfur compound biosynthetic process,1.567627122,0.000522327,0.038646135,0.322580645,0.038640062
Regulation of membrane potential (GO:0042391),GO:0042391,Regulation of membrane potential,1.446303305,0.00053134,0.038861131,0.288416076,0.038855024
Potassium ion transport (GO:0006813),GO:0006813,Potassium ion transport,1.534100852,0.000574763,0.041559319,0.271929825,0.041552787
Regulation of t cell activation (GO:0050863),GO:0050863,Regulation of t cell activation,-1.416501385,0.000593479,0.04217113,0.300613497,0.042164502
Glycosaminoglycan metabolic process (GO:0030203),GO:0030203,Glycosaminoglycan metabolic process,1.578585732,0.00059648,0.04217113,0.269230769,0.042164502
Lipid catabolic process (GO:0016042),GO:0016042,Lipid catabolic process,1.471995161,0.000611623,0.042766576,0.265060241,0.042759855
Response to interferon-beta (GO:0035456),GO:0035456,Response to interferon-beta,-1.856961804,0.000630325,0.043595214,0.5,0.043588363
Adp metabolic process (GO:0046031),GO:0046031,Adp metabolic process,1.65620597,0.00064855,0.04437338,0.362903226,0.044366407
Pyruvate metabolic process (GO:0006090),GO:0006090,Pyruvate metabolic process,1.583541207,0.000656851,0.044463233,0.342105263,0.044456246
Response to transforming growth factor beta (GO:0071559),GO:0071559,Response to transforming growth factor beta,1.51261663,0.000675352,0.045234348,0.241666667,0.045227239
Carbohydrate catabolic process (GO:0016052),GO:0016052,Carbohydrate catabolic process,1.526611248,0.000705639,0.046191466,0.331632653,0.046184207
Regulation of lymphocyte proliferation (GO:0050670),GO:0050670,Regulation of lymphocyte proliferation,-1.486943681,0.000709501,0.046191466,0.288372093,0.046184207
Cellular transition metal ion homeostasis (GO:0046916),GO:0046916,Cellular transition metal ion homeostasis,1.664814581,0.00071142,0.046191466,0.351851852,0.046184207
Positive regulation of mrna metabolic process (GO:1903313),GO:1903313,Positive regulation of mrna metabolic process,-1.682763126,0.000722545,0.046439949,0.4,0.04643265
Atp generation from adp (GO:0006757),GO:0006757,Atp generation from adp,1.643322754,0.000746844,0.047521675,0.370689655,0.047514207
Cellular response to interferon-alpha (GO:0035457),GO:0035457,Cellular response to interferon-alpha,-1.940024049,0.000754568,0.047537778,0.454545455,0.047530307
Glycolytic process (GO:0006096),GO:0006096,Glycolytic process,1.653115895,0.000776621,0.048447442,0.373913043,0.048439828
Single fertilization (GO:0007338),GO:0007338,Single fertilization,1.567003794,0.000818217,0.05041837,0.27972028,0.050410447
Cellular response to decreased oxygen levels (GO:0036294),GO:0036294,Cellular response to decreased oxygen levels,1.561434247,0.000824063,0.05041837,0.266009852,0.050410447
Response to molecule of bacterial origin (GO:0002237),GO:0002237,Response to molecule of bacterial origin,1.452262038,0.000849996,0.051156882,0.293768546,0.051148842
T cell differentiation (GO:0030217),GO:0030217,T cell differentiation,-1.475285449,0.000852213,0.051156882,0.328,0.051148842
Positive T cell selection (GO:0043368),GO:0043368,Positive T cell selection,-1.860190154,0.00087374,0.051958957,0.444444444,0.051950791
Icosanoid biosynthetic process (GO:0046456),GO:0046456,Icosanoid biosynthetic process,1.737462618,0.000917989,0.054084843,0.396226415,0.054076343
Mucopolysaccharide metabolic process (GO:1903510),GO:1903510,Mucopolysaccharide metabolic process,1.671533728,0.000931049,0.054332858,0.303571429,0.054324319
"Regulation of synaptic transmission, glutamatergic (GO:0051966)",GO:0051966,"Regulation of synaptic transmission, glutamatergic",1.700296903,0.000939276,0.054332858,0.271428571,0.054324319
Maturation of ssu-rrna (GO:0030490),GO:0030490,Maturation of ssu-rrna,-1.754747467,0.00096906,0.055550705,0.235294118,0.055541975
Regulation of ph (GO:0006885),GO:0006885,Regulation of ph,1.671425867,0.001039729,0.05906963,0.277227723,0.059060346
Cognition (GO:0050890),GO:0050890,Cognition,1.445773604,0.00105395,0.0593458,0.2996633,0.059336473
Regulatory t cell differentiation (GO:0045066),GO:0045066,Regulatory t cell differentiation,-1.824728751,0.001063244,0.0593458,0.424242424,0.059336473
Triglyceride metabolic process (GO:0006641),GO:0006641,Triglyceride metabolic process,1.6632488,0.00108594,0.059710322,0.316326531,0.059700938
Nucleoside diphosphate phosphorylation (GO:0006165),GO:0006165,Nucleoside diphosphate phosphorylation,1.611424265,0.001098111,0.059710322,0.348484848,0.059700938
Regulation of antigen receptor-mediated signaling pathway (GO:0050854),GO:0050854,Regulation of antigen receptor-mediated signaling pathway,-1.708519764,0.001106328,0.059710322,0.409090909,0.059700938
Aminoglycan metabolic process (GO:0006022),GO:0006022,Aminoglycan metabolic process,1.552898374,0.001116879,0.059710322,0.317647059,0.059700938
Carbohydrate transport (GO:0008643),GO:0008643,Carbohydrate transport,1.60097601,0.001120612,0.059710322,0.361702128,0.059700938
Brown fat cell differentiation (GO:0050873),GO:0050873,Brown fat cell differentiation,1.728714761,0.001137046,0.059710322,0.3,0.059700938
Import into cell (GO:0098657),GO:0098657,Import into cell,1.504648113,0.001142001,0.059710322,0.219298246,0.059700938
Ribonucleoprotein complex biogenesis (GO:0022613),GO:0022613,Ribonucleoprotein complex biogenesis,-1.345935065,0.001144847,0.059710322,0.244239631,0.059700938
Regulation of mononuclear cell proliferation (GO:0032944),GO:0032944,Regulation of mononuclear cell proliferation,-1.453767846,0.001175864,0.060768058,0.285714286,0.060758508
Negative regulation of peptidase activity (GO:0010466),GO:0010466,Negative regulation of peptidase activity,1.498443928,0.001184227,0.060768058,0.263374486,0.060758508
Ribosome biogenesis (GO:0042254),GO:0042254,Ribosome biogenesis,-1.40322094,0.001224588,0.062336443,0.221122112,0.062326647
Maintenance of location (GO:0051235),GO:0051235,Maintenance of location,1.449415387,0.001242974,0.0626541,0.246794872,0.062644253
Mitochondrial translation (GO:0032543),GO:0032543,Mitochondrial translation,-1.534463993,0.001253412,0.0626541,0.407407407,0.062644253
Manganese ion transport (GO:0006828),GO:0006828,Manganese ion transport,1.874061288,0.001260368,0.0626541,0.6,0.062644253
Megakaryocyte differentiation (GO:0030219),GO:0030219,Megakaryocyte differentiation,-1.614139628,0.001299008,0.064074325,0.556701031,0.064064255
Nucleotide phosphorylation (GO:0046939),GO:0046939,Nucleotide phosphorylation,1.582512341,0.001347846,0.065971869,0.343283582,0.065961501
Positive regulation of lymphocyte proliferation (GO:0050671),GO:0050671,Positive regulation of lymphocyte proliferation,-1.529947694,0.001369725,0.066530978,0.305970149,0.066520523
Lipid oxidation (GO:0034440),GO:0034440,Lipid oxidation,1.625542311,0.001403604,0.067660094,0.36036036,0.06764946
Regulation of response to biotic stimulus (GO:0002831),GO:0002831,Regulation of response to biotic stimulus,-1.358302177,0.001667769,0.079789567,0.299492386,0.079777027
Regulation of leukocyte proliferation (GO:0070663),GO:0070663,Regulation of leukocyte proliferation,-1.447443072,0.001703526,0.080892051,0.278969957,0.080879338
Regulation of lipid transport (GO:0032368),GO:0032368,Regulation of lipid transport,1.594394139,0.001737346,0.081349754,0.271929825,0.081336969
Fatty acid derivative biosynthetic process (GO:1901570),GO:1901570,Fatty acid derivative biosynthetic process,1.622992825,0.001738734,0.081349754,0.329896907,0.081336969
Nad metabolic process (GO:0019674),GO:0019674,Nad metabolic process,1.747796119,0.001752314,0.08138667,0.5,0.081373879
Positive regulation of mononuclear cell proliferation (GO:0032946),GO:0032946,Positive regulation of mononuclear cell proliferation,-1.501640902,0.001879412,0.086657232,0.303703704,0.086643613
B cell receptor signaling pathway (GO:0050853),GO:0050853,B cell receptor signaling pathway,-1.705805225,0.001918338,0.087770746,0.483333333,0.087756952
Positive regulation of t cell mediated cytotoxicity (GO:0001916),GO:0001916,Positive regulation of t cell mediated cytotoxicity,-1.771423113,0.00193115,0.087770746,0.444444444,0.087756952
"Maturation of ssu-rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna) (GO:0000462)",GO:0000462,"Maturation of ssu-rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",-1.764384746,0.002003496,0.090161137,0.289473684,0.090146968
Negative regulation of antigen receptor-mediated signaling pathway (GO:0050858),GO:0050858,Negative regulation of antigen receptor-mediated signaling pathway,-1.745639148,0.002012083,0.090161137,0.533333333,0.090146968
Glucose transmembrane transport (GO:1904659),GO:1904659,Glucose transmembrane transport,1.619906878,0.002031275,0.090384618,0.396039604,0.090370413
Positive regulation of leukocyte proliferation (GO:0070665),GO:0070665,Positive regulation of leukocyte proliferation,-1.489714712,0.002047703,0.090482862,0.289655172,0.090468641
Positive thymic t cell selection (GO:0045059),GO:0045059,Positive thymic t cell selection,-1.859870244,0.002321454,0.101871827,0.571428571,0.101855817
Oxygen transport (GO:0015671),GO:0015671,Oxygen transport,-1.85962571,0.002344592,0.102052882,0.333333333,0.102036843
Hexose transmembrane transport (GO:0008645),GO:0008645,Hexose transmembrane transport,1.591843549,0.002363606,0.102052882,0.394230769,0.102036843
Mature b cell differentiation involved in immune response (GO:0002313),GO:0002313,Mature b cell differentiation involved in immune response,1.800243313,0.002373696,0.102052882,0.181818182,0.102036843
T cell tolerance induction (GO:0002517),GO:0002517,T cell tolerance induction,-1.853699189,0.002415555,0.103155538,0.583333333,0.103139327
B cell proliferation (GO:0042100),GO:0042100,B cell proliferation,-1.561099984,0.002610845,0.110752061,0.309278351,0.110734656
Positive regulation of cell killing (GO:0031343),GO:0031343,Positive regulation of cell killing,-1.668625197,0.002701261,0.113828652,0.35,0.113810763
Negative t cell selection (GO:0043383),GO:0043383,Negative t cell selection,-1.841272641,0.002774886,0.115051898,0.416666667,0.115033817
Cellular response to peptide hormone stimulus (GO:0071375),GO:0071375,Cellular response to peptide hormone stimulus,1.428933119,0.002776235,0.115051898,0.344936709,0.115033817
Carbohydrate transmembrane transport (GO:0034219),GO:0034219,Carbohydrate transmembrane transport,1.586217606,0.002787205,0.115051898,0.398148148,0.115033817
Response to peptide hormone (GO:0043434),GO:0043434,Response to peptide hormone,1.385056464,0.002802616,0.115051898,0.336448598,0.115033817
Lysosomal transport (GO:0007041),GO:0007041,Lysosomal transport,1.568457344,0.002836879,0.115711948,0.289719626,0.115693763
Positive regulation of i-kappab kinase/nf-kappab signaling (GO:0043123),GO:0043123,Positive regulation of i-kappab kinase/nf-kappab signaling,-1.441711199,0.002866838,0.116189129,0.347593583,0.116170869
Smooth muscle contraction (GO:0006939),GO:0006939,Smooth muscle contraction,1.589655467,0.002993069,0.120537317,0.269230769,0.120518373
Negative regulation of cysteine-type endopeptidase activity (GO:2000117),GO:2000117,Negative regulation of cysteine-type endopeptidase activity,1.601424934,0.003052699,0.121764058,0.333333333,0.121744921
Mitochondrial gene expression (GO:0140053),GO:0140053,Mitochondrial gene expression,-1.444977377,0.003066518,0.121764058,0.384146341,0.121744921
G protein-coupled glutamate receptor signaling pathway (GO:0007216),GO:0007216,G protein-coupled glutamate receptor signaling pathway,1.840876809,0.003098232,0.121764058,0.4,0.121744921
Cellular iron ion homeostasis (GO:0006879),GO:0006879,Cellular iron ion homeostasis,1.634515977,0.00313118,0.121764058,0.378787879,0.121744921
Triglyceride biosynthetic process (GO:0019432),GO:0019432,Triglyceride biosynthetic process,1.744180554,0.003132614,0.121764058,0.432432432,0.121744921
Negative regulation of proteolysis (GO:0045861),GO:0045861,Negative regulation of proteolysis,1.419747598,0.003161947,0.121764058,0.238095238,0.121744921
Purine-containing compound metabolic process (GO:0072521),GO:0072521,Purine-containing compound metabolic process,1.377941802,0.003172924,0.121764058,0.209150327,0.121744921
Osteoclast differentiation (GO:0030316),GO:0030316,Osteoclast differentiation,1.597183676,0.00317662,0.121764058,0.302083333,0.121744921
Regulation of bone remodeling (GO:0046850),GO:0046850,Regulation of bone remodeling,1.6972764,0.003208917,0.122046187,0.42,0.122027006
Transition metal ion homeostasis (GO:0055076),GO:0055076,Transition metal ion homeostasis,1.555866435,0.003222342,0.122046187,0.341085271,0.122027006
Amino acid transport (GO:0006865),GO:0006865,Amino acid transport,1.523600344,0.003320254,0.125010493,0.361842105,0.124990847
Purine nucleotide metabolic process (GO:0006163),GO:0006163,Purine nucleotide metabolic process,1.379288579,0.003462512,0.128331737,0.213457077,0.128311569
Ribonucleoside diphosphate metabolic process (GO:0009185),GO:0009185,Ribonucleoside diphosphate metabolic process,1.526727707,0.003490666,0.128331737,0.345323741,0.128311569
Ph reduction (GO:0045851),GO:0045851,Ph reduction,1.676416299,0.003492433,0.128331737,0.321428571,0.128311569
Purine nucleoside diphosphate metabolic process (GO:0009135),GO:0009135,Purine nucleoside diphosphate metabolic process,1.534969598,0.003509307,0.128331737,0.345588235,0.128311569
Purine ribonucleoside diphosphate metabolic process (GO:0009179),GO:0009179,Purine ribonucleoside diphosphate metabolic process,1.534969598,0.003509307,0.128331737,0.345588235,0.128311569
Antigen processing and presentation via mhc class ib (GO:0002475),GO:0002475,Antigen processing and presentation via mhc class ib,-1.854728023,0.003535724,0.128558938,0.461538462,0.128538734
Learning or memory (GO:0007611),GO:0007611,Learning or memory,1.438701989,0.00357296,0.129174679,0.23046875,0.129154378
Fatty acid oxidation (GO:0019395),GO:0019395,Fatty acid oxidation,1.565727407,0.003618628,0.130086612,0.358490566,0.130066168
Chromatin assembly (GO:0031497),GO:0031497,Chromatin assembly,-1.457107949,0.003682018,0.130795503,0.384180791,0.130774947
Cytidine to uridine editing (GO:0016554),GO:0016554,Cytidine to uridine editing,-1.823437646,0.003686836,0.130795503,0.5,0.130774947
Lipid modification (GO:0030258),GO:0030258,Lipid modification,1.440146046,0.003700014,0.130795503,0.272727273,0.130774947
Receptor internalization (GO:0031623),GO:0031623,Receptor internalization,1.552168624,0.003733665,0.131255866,0.396396396,0.131235238
Acylglycerol homeostasis (GO:0055090),GO:0055090,Acylglycerol homeostasis,1.745415958,0.003806228,0.132344432,0.272727273,0.132323633
Triglyceride homeostasis (GO:0070328),GO:0070328,Triglyceride homeostasis,1.745415958,0.003806228,0.132344432,0.272727273,0.132323633
Fertilization (GO:0009566),GO:0009566,Fertilization,1.492654647,0.003867321,0.133436509,0.210227273,0.133415538
Cellular monovalent inorganic cation homeostasis (GO:0030004),GO:0030004,Cellular monovalent inorganic cation homeostasis,1.554405125,0.003879578,0.133436509,0.258928571,0.133415538
Positive regulation of secretion by cell (GO:1903532),GO:1903532,Positive regulation of secretion by cell,1.415080587,0.004193458,0.143456852,0.243421053,0.143434307
Zinc ion transmembrane transport (GO:0071577),GO:0071577,Zinc ion transmembrane transport,1.780809823,0.004247788,0.144265619,0.565217391,0.144242946
Learning (GO:0007612),GO:0007612,Learning,1.505698732,0.004262445,0.144265619,0.23943662,0.144242946
Glucose catabolic process (GO:0006007),GO:0006007,Glucose catabolic process,1.714228005,0.004311832,0.145164999,0.485714286,0.145142186
Monosaccharide transmembrane transport (GO:0015749),GO:0015749,Monosaccharide transmembrane transport,1.550991157,0.004562618,0.150273279,0.386792453,0.150249663
Regulation of tube diameter (GO:0035296),GO:0035296,Regulation of tube diameter,1.515638458,0.004583652,0.150273279,0.328244275,0.150249663
Regulation of blood vessel diameter (GO:0097746),GO:0097746,Regulation of blood vessel diameter,1.515638458,0.004583652,0.150273279,0.328244275,0.150249663
Negative regulation of endopeptidase activity (GO:0010951),GO:0010951,Negative regulation of endopeptidase activity,1.443085718,0.00460233,0.150273279,0.256410256,0.150249663
Positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568),GO:0043568,Positive regulation of insulin-like growth factor receptor signaling pathway,-1.797032023,0.004605263,0.150273279,0.454545455,0.150249663
Protein localization to cell cortex (GO:0072697),GO:0072697,Protein localization to cell cortex,-1.805316033,0.004605263,0.150273279,0.454545455,0.150249663
