row,column,cor,p
MF-2,BCAA metabolism,0.030039362,0.640553035
Plasma membrane,BCAA metabolism,0.21441722,0.000747868
Protein secretion,BCAA metabolism,0.253210634,6.32E-05
NADH,BCAA metabolism,0.045566716,0.47864229
mRNA metabolism,BCAA metabolism,-0.066049615,0.304160388
PPV use,Oxidative stress response,-0.16473003,0.009949347
Age,Oxidative stress response,-0.057588697,0.370419168
Sex,Oxidative stress response,0.065735516,0.306470845
Race/ethnicity,Oxidative stress response,0.0275476,0.668520888
Virus,Oxidative stress response,0.00883168,0.890833566
T cell regulation,Oxidative stress response,0.060310962,0.348191004
Neutrophil/IL-1 ,Oxidative stress response,0.030755968,0.632600603
GPCR,Oxidative stress response,0.093677914,0.144567347
Type I IFN,Oxidative stress response,0.01285377,0.841668653
HR-1,Oxidative stress response,-0.059883029,0.35162826
ATP synthesis,Oxidative stress response,-0.0447269,0.486794025
HF-2,Oxidative stress response,-0.054365255,0.397844489
Transcription-translatio,Oxidative stress response,-0.018691015,0.771442079
Granulocyte,Oxidative stress response,0.002357576,0.970774073
Streptcoccus,Oxidative stress response,0.118954563,0.063570471
MC-3,Oxidative stress response,0.042542804,0.508338568
MC-2,Oxidative stress response,0.241357242,0.00014055
Haemophilus,Oxidative stress response,0.141360905,0.027252093
MC-1,Oxidative stress response,-0.045264281,0.481569326
S.pnuemoniae/S. aureus,Oxidative stress response,-0.033614443,0.601304293
Moraxella,Oxidative stress response,0.032166964,0.617065729
MF-1,Oxidative stress response,0.162689257,0.010920983
MF-2,Oxidative stress response,0.229170467,0.000306751
Plasma membrane,Oxidative stress response,0.001099496,0.986367617
Protein secretion,Oxidative stress response,-0.026540928,0.679953689
NADH,Oxidative stress response,0.241601321,0.000138313
mRNA metabolism,Oxidative stress response,0.204341026,0.001329891
BCAA metabolism,Oxidative stress response,-0.025665328,0.689957836
